date,day_number,platform,content_format,topic_title,hook_line,key_points,cta,repurpose_notes,pillar
2026-09-03,60,Substack,Substack essay,The Founder-Budget Longevity Stack: What I’m Keeping Under $100/Month,"If a protocol cannot survive a startup budget and a crowded calendar, it does not belong in my system.",methods and caveats; raw data table summary; evidence grade; founder-budget recommendation,Subscribe to the Founder Longevity Lab newsletter,Embed 2 chart screenshots from the week; spin out the strongest paragraph into Friday Instagram carousel caption and next Monday YouTube intro.,science explainers
2026-09-03,60,YouTube,YouTube Short,The Most Overpriced Thing in My Longevity Routine,One purchase made me feel serious without making me healthier.,single dramatic chart moment; one plain-English lesson; one next step,Watch the full breakdown on YouTube,Clip the highest-retention 30s moment from Monday’s long-form; repost natively to Instagram Reels on Thursday night if it spikes early.,founder journey/build-in-public
2026-09-03,60,Instagram,Reel,Evidence Tier vs Price Tag: Where My Money Goes Now,High price does not mean high confidence. The stack works better when those two are separated.,one myth to correct; one mechanism or chart; one realistic founder action,Share this with a founder who is overcomplicating health,Use the same core script as the Thursday YouTube Short with a different first line; cut still frames into Story slides after publishing.,science explainers
2026-09-04,61,Instagram,carousel,My New Founder Stack in One Screenshot,"Twenty minutes a day, under $100 a month, and built around real startup friction.",weekly scoreboard; one failed assumption; one win worth keeping; one adjustment for next week,Comment REVIEW and I’ll send the weekly scorecard format,Turn each slide into a separate Story frame; reuse the failed-assumption slide as the opening beat for Sunday notes or future recap content.,founder journey/build-in-public
2026-09-04,61,TikTok,TikTok,The First 3 Things I Cut From My Health Budget,None of them failed because they were evil. They failed because they were low signal.,mistake or tension point; what the data said; what I changed next,Watch the full breakdown on YouTube,Use B-roll from the actual week and overlay the chart; mirror the strongest sentence in the Friday carousel caption.,founder journey/build-in-public
2026-09-05,62,TikTok,TikTok,My Founder Longevity Stack Now Costs Less Than One Fancy Dinner,That constraint forced me to keep only what actually moved the dashboard.,one concise verdict; one caveat; one next experiment or decision,Follow for next week’s experiment drop,Record as a direct response to the week’s top comment; pull the verdict sentence into Sunday notes and the next Monday cold open.,founder journey/build-in-public
2026-09-07,64,YouTube,long-form video,The 20-Minute Morning Stack That Protects My Deep Work,"I rebuilt my mornings around energy stability instead of motivational routines, and the difference showed up in output and recovery.",light and movement sequence; protein-first breakfast decision; caffeine timing carryover; deep work protection,Subscribe to the Founder Longevity Lab newsletter,Cut 3x 45s vertical clips for TikTok Tue/Wed/Fri; pull 5 chart screenshots into an Instagram carousel on Tuesday.,longevity protocols & N=1 experiments
2026-09-07,64,Instagram,Reel,My Morning Stack in Real Time Before Slack and Email,The first 20 minutes decide whether I feel behind all day.,week focus: Morning stack and deep work energy; one founder constraint; one measurable takeaway,Comment DASHBOARD and I’ll DM the tracking template,Re-edit the YouTube opener into a 35s Reel with on-screen charts; save strongest line for Thursday Story recap.,longevity protocols & N=1 experiments
2026-09-07,64,TikTok,TikTok,The Morning Routine Founders Can Actually Keep,"If your routine needs 90 minutes and no emergencies, it is not a routine. It is cosplay.",arc: $100/month founder longevity stack; strongest chart reveal; founder-budget takeaway,Follow for the next data drop in this 90-day series,Use a fast-cut native version of the Monday YouTube reveal; repost the best comment response as a Friday clip.,longevity protocols & N=1 experiments
2026-09-08,65,Instagram,carousel,"The Founder Morning Stack, Step by Step",No journaling marathon. No cold plunge requirement. Just the sequence that improved my energy consistency.,chart 1 baseline or comparison; chart 2 biggest surprise; chart 3 founder takeaway; chart 4 next test,Save this post for your next health stack audit,Export charts from the YouTube dashboard walkthrough; adapt slide 1 and slide 4 into a LinkedIn-style screenshot for future reuse.,longevity protocols & N=1 experiments
2026-09-08,65,TikTok,TikTok,My 20-Minute Founder Morning Stack,This is the sequence that improved energy without eating the morning.,one contrarian claim; one chart or anecdote; one immediate action,Comment DATA and I’ll DM the dashboard template,Record natively with a tighter hook than the YouTube cut; reuse subtitles from the clip for an Instagram Story poll on Wednesday.,longevity protocols & N=1 experiments
2026-09-09,66,Instagram,Story,What My Morning Looks Like on a Board Meeting Day,"The routine compresses when the calendar gets ugly, but the core stays the same.",behind-the-scenes setup; one screenshot from the tracker; one poll or Q&A sticker,Reply FOUNDERS and I’ll share the exact checklist,Turn the best Story question into a Saturday TikTok response; archive the screenshots for a future monthly recap carousel.,founder journey/build-in-public
2026-09-09,66,TikTok,TikTok,What I Do Before Opening Slack,A few simple inputs beat letting notifications set the tone of the day.,problem most creators oversimplify; what I tested instead; what changed in practice,Follow for the full Thursday write-up,Film as a direct-to-camera native explainer; lift the closing sentence into Thursday Substack email preview text.,science explainers
2026-09-10,67,Substack,Substack essay,Designing a Morning Protocol for Founders Who Have No Time for Wellness Theater,"A morning stack is only interesting if it is fast, cheap, and still helps on the days you wake up under-recovered.",methods and caveats; raw data table summary; evidence grade; founder-budget recommendation,Subscribe to the Founder Longevity Lab newsletter,Embed 2 chart screenshots from the week; spin out the strongest paragraph into Friday Instagram carousel caption and next Monday YouTube intro.,science explainers
2026-09-10,67,YouTube,YouTube Short,My 20-Minute Tuesday Protocol for Better Mornings,This is the founder-friendly routine that survived my busiest week this quarter.,single dramatic chart moment; one plain-English lesson; one next step,Watch the full breakdown on YouTube,Clip the highest-retention 30s moment from Monday’s long-form; repost natively to Instagram Reels on Thursday night if it spikes early.,longevity protocols & N=1 experiments
2026-09-10,67,Instagram,Reel,Why I Put Protein Before Productivity Hacks,Feeling “locked in” is easier when breakfast stops fighting your glucose and attention.,one myth to correct; one mechanism or chart; one realistic founder action,Share this with a founder who is overcomplicating health,Use the same core script as the Thursday YouTube Short with a different first line; cut still frames into Story slides after publishing.,science explainers
2026-09-11,68,Instagram,carousel,The Morning Stack KPI I Actually Track,I do not rate mornings by vibes. I rate them by whether deep work happened before meetings took over.,weekly scoreboard; one failed assumption; one win worth keeping; one adjustment for next week,Comment REVIEW and I’ll send the weekly scorecard format,Turn each slide into a separate Story frame; reuse the failed-assumption slide as the opening beat for Sunday notes or future recap content.,founder journey/build-in-public
2026-09-11,68,TikTok,TikTok,The Morning Habit That Beats Another Nootropic,I would rather protect circadian timing than keep buying focus promises.,mistake or tension point; what the data said; what I changed next,Watch the full breakdown on YouTube,Use B-roll from the actual week and overlay the chart; mirror the strongest sentence in the Friday carousel caption.,founder journey/build-in-public
2026-09-12,69,TikTok,TikTok,How I Recover a Morning After Bad Sleep,The goal is not perfection. It is damage control with a system.,one concise verdict; one caveat; one next experiment or decision,Follow for next week’s experiment drop,Record as a direct response to the week’s top comment; pull the verdict sentence into Sunday notes and the next Monday cold open.,longevity protocols & N=1 experiments
2026-09-14,71,YouTube,long-form video,Launch Week Crushed My HRV: Here’s the Sleep Stack I Used to Stop the Slide,"This was a real startup crunch week, not a retreat. I tested which recovery moves still worked when stress was non-negotiable.",HRV drop context; lights and cutoff rules; what I changed during launch week; what failed under pressure,Subscribe to the Founder Longevity Lab newsletter,Cut 3x 45s vertical clips for TikTok Tue/Wed/Fri; pull 5 chart screenshots into an Instagram carousel on Tuesday.,founder journey/build-in-public
2026-09-14,71,Instagram,Reel,My Recovery Data During a Real Product Launch,This is where founder health advice usually falls apart: it ignores the weeks when the work is genuinely intense.,week focus: Sleep stack during launch week; one founder constraint; one measurable takeaway,Comment DASHBOARD and I’ll DM the tracking template,Re-edit the YouTube opener into a 35s Reel with on-screen charts; save strongest line for Thursday Story recap.,founder journey/build-in-public
2026-09-14,71,TikTok,TikTok,Startup Launch Weeks Are a Longevity Stress Test,This is the moment when bad protocols get exposed instantly.,arc: $100/month founder longevity stack; strongest chart reveal; founder-budget takeaway,Follow for the next data drop in this 90-day series,Use a fast-cut native version of the Monday YouTube reveal; repost the best comment response as a Friday clip.,founder journey/build-in-public
2026-09-15,72,Instagram,carousel,"Launch Week vs Recovery: HRV, Sleep, and What I Changed","The chart was ugly, but it made the right interventions easier to see.",chart 1 baseline or comparison; chart 2 biggest surprise; chart 3 founder takeaway; chart 4 next test,Save this post for your next health stack audit,Export charts from the YouTube dashboard walkthrough; adapt slide 1 and slide 4 into a LinkedIn-style screenshot for future reuse.,founder journey/build-in-public
2026-09-15,72,TikTok,TikTok,My HRV Bottomed Out During Shipping Week,Here is what I changed first and what was too weak to matter.,one contrarian claim; one chart or anecdote; one immediate action,Comment DATA and I’ll DM the dashboard template,Record natively with a tighter hook than the YouTube cut; reuse subtitles from the clip for an Instagram Story poll on Wednesday.,founder journey/build-in-public
2026-09-16,73,Instagram,Story,My Night Routine When the Team Is Shipping Late,"The ideal routine is gone during launches, so I use the minimal version that still moves the needle.",behind-the-scenes setup; one screenshot from the tracker; one poll or Q&A sticker,Reply FOUNDERS and I’ll share the exact checklist,Turn the best Story question into a Saturday TikTok response; archive the screenshots for a future monthly recap carousel.,founder journey/build-in-public
2026-09-16,73,TikTok,TikTok,The Sleep Rule I Use Even During Launches,"I cannot control stress, but I can stop adding avoidable damage.",problem most creators oversimplify; what I tested instead; what changed in practice,Follow for the full Thursday write-up,Film as a direct-to-camera native explainer; lift the closing sentence into Thursday Substack email preview text.,science explainers
2026-09-17,74,Substack,Substack essay,What a Launch Week Did to My Recovery Metrics and the Sleep Protocol That Helped,"Instead of pretending stress disappears, I built a recovery strategy for the week it spikes the hardest.",methods and caveats; raw data table summary; evidence grade; founder-budget recommendation,Subscribe to the Founder Longevity Lab newsletter,Embed 2 chart screenshots from the week; spin out the strongest paragraph into Friday Instagram carousel caption and next Monday YouTube intro.,science explainers
2026-09-17,74,YouTube,YouTube Short,From Product Launch to HRV Crash in 24 Hours,The wearable graph looked exactly like the calendar felt.,single dramatic chart moment; one plain-English lesson; one next step,Watch the full breakdown on YouTube,Clip the highest-retention 30s moment from Monday’s long-form; repost natively to Instagram Reels on Thursday night if it spikes early.,founder journey/build-in-public
2026-09-17,74,Instagram,Reel,The Sleep Stack I Trust When Stress Is Not Optional,"A good protocol works on hard weeks, not just calm ones.",one myth to correct; one mechanism or chart; one realistic founder action,Share this with a founder who is overcomplicating health,Use the same core script as the Thursday YouTube Short with a different first line; cut still frames into Story slides after publishing.,science explainers
2026-09-18,75,Instagram,carousel,The Recovery Tactic That Failed Me This Week,I kept one popular habit in the stack out of loyalty. The data says it is not earning its slot.,weekly scoreboard; one failed assumption; one win worth keeping; one adjustment for next week,Comment REVIEW and I’ll send the weekly scorecard format,Turn each slide into a separate Story frame; reuse the failed-assumption slide as the opening beat for Sunday notes or future recap content.,founder journey/build-in-public
2026-09-18,75,TikTok,TikTok,Why Most Recovery Advice Fails Founders,Because it assumes your stressful week is optional. Mine was not.,mistake or tension point; what the data said; what I changed next,Watch the full breakdown on YouTube,Use B-roll from the actual week and overlay the chart; mirror the strongest sentence in the Friday carousel caption.,founder journey/build-in-public
2026-09-19,76,TikTok,TikTok,The Launch Week Data I Almost Kept Private,Publishing the ugly dashboard is the whole point of build-in-public health.,one concise verdict; one caveat; one next experiment or decision,Follow for next week’s experiment drop,Record as a direct response to the week’s top comment; pull the verdict sentence into Sunday notes and the next Monday cold open.,founder journey/build-in-public
2026-09-21,78,YouTube,long-form video,My Travel-Proof Founder Longevity Stack: 5 Moves That Survived Airports and Hotel Gyms,"Travel is where polished routines die. I wanted the minimal protocol that survives delays, dinners, and bad hotel sleep.",travel packing list; airport meal rules; circadian anchors; training minimum viable dose,Subscribe to the Founder Longevity Lab newsletter,Cut 3x 45s vertical clips for TikTok Tue/Wed/Fri; pull 5 chart screenshots into an Instagram carousel on Tuesday.,founder journey/build-in-public
2026-09-21,78,Instagram,Reel,My Founder Travel Stack in One Carry-On,I stripped the routine down to what still matters when the environment is working against you.,week focus: Travel-proof protocol; one founder constraint; one measurable takeaway,Comment DASHBOARD and I’ll DM the tracking template,Re-edit the YouTube opener into a 35s Reel with on-screen charts; save strongest line for Thursday Story recap.,founder journey/build-in-public
2026-09-21,78,TikTok,TikTok,My Travel Stack Fits in One Small Bag,That constraint forced me to cut the fake essentials.,arc: $100/month founder longevity stack; strongest chart reveal; founder-budget takeaway,Follow for the next data drop in this 90-day series,Use a fast-cut native version of the Monday YouTube reveal; repost the best comment response as a Friday clip.,founder journey/build-in-public
2026-09-22,79,Instagram,carousel,Airport to Hotel: My Travel Protocol Checklist,"This is the exact checklist I use to protect sleep, energy, and glucose while traveling.",chart 1 baseline or comparison; chart 2 biggest surprise; chart 3 founder takeaway; chart 4 next test,Save this post for your next health stack audit,Export charts from the YouTube dashboard walkthrough; adapt slide 1 and slide 4 into a LinkedIn-style screenshot for future reuse.,founder journey/build-in-public
2026-09-22,79,TikTok,TikTok,The Airport Rule That Saves My Energy the Next Day,One food decision on travel days changes everything downstream.,one contrarian claim; one chart or anecdote; one immediate action,Comment DATA and I’ll DM the dashboard template,Record natively with a tighter hook than the YouTube cut; reuse subtitles from the clip for an Instagram Story poll on Wednesday.,founder journey/build-in-public
2026-09-23,80,Instagram,Story,What I Eat on Travel Days Now,The airport meal decision matters more than another packet of supplements.,behind-the-scenes setup; one screenshot from the tracker; one poll or Q&A sticker,Reply FOUNDERS and I’ll share the exact checklist,Turn the best Story question into a Saturday TikTok response; archive the screenshots for a future monthly recap carousel.,founder journey/build-in-public
2026-09-23,80,TikTok,TikTok,How I Handle Hotel Sleep as a Founder,"You cannot control the room, but you can control a few high-leverage inputs.",problem most creators oversimplify; what I tested instead; what changed in practice,Follow for the full Thursday write-up,Film as a direct-to-camera native explainer; lift the closing sentence into Thursday Substack email preview text.,science explainers
2026-09-24,81,Substack,Substack essay,How I Keep the Founder Stack Intact While Traveling,A protocol that only works at home is not a real system. This is the travel version I kept after testing it.,methods and caveats; raw data table summary; evidence grade; founder-budget recommendation,Subscribe to the Founder Longevity Lab newsletter,Embed 2 chart screenshots from the week; spin out the strongest paragraph into Friday Instagram carousel caption and next Monday YouTube intro.,science explainers
2026-09-24,81,YouTube,YouTube Short,The Only Travel Longevity Gear I Actually Packed,Most of the stack stayed home. That was the point.,single dramatic chart moment; one plain-English lesson; one next step,Watch the full breakdown on YouTube,Clip the highest-retention 30s moment from Monday’s long-form; repost natively to Instagram Reels on Thursday night if it spikes early.,founder journey/build-in-public
2026-09-24,81,Instagram,Reel,How to Protect Your Clock When Work Sends You Across Time Zones,Jet lag is not just inconvenient. It is a predictable systems problem.,one myth to correct; one mechanism or chart; one realistic founder action,Share this with a founder who is overcomplicating health,Use the same core script as the Thursday YouTube Short with a different first line; cut still frames into Story slides after publishing.,science explainers
2026-09-25,82,Instagram,carousel,The Hotel Gym Workout I Use When Time Is Tight,This is the minimum effective dose that keeps the trip from derailing the week.,weekly scoreboard; one failed assumption; one win worth keeping; one adjustment for next week,Comment REVIEW and I’ll send the weekly scorecard format,Turn each slide into a separate Story frame; reuse the failed-assumption slide as the opening beat for Sunday notes or future recap content.,founder journey/build-in-public
2026-09-25,82,TikTok,TikTok,Stop Packing Your Entire Longevity Identity,Travel exposes which habits are real and which ones are just environment-dependent.,mistake or tension point; what the data said; what I changed next,Watch the full breakdown on YouTube,Use B-roll from the actual week and overlay the chart; mirror the strongest sentence in the Friday carousel caption.,founder journey/build-in-public
2026-09-26,83,TikTok,TikTok,The Hotel Gym Protocol I Can Do in 22 Minutes,"It is not fancy, but it keeps the trip from turning into a recovery disaster.",one concise verdict; one caveat; one next experiment or decision,Follow for next week’s experiment drop,Record as a direct response to the week’s top comment; pull the verdict sentence into Sunday notes and the next Monday cold open.,founder journey/build-in-public
2026-09-28,85,YouTube,long-form video,I Retested My Biological Age After 90 Days of Founder-Grade Longevity,"Three months, one startup, and a lot of public data later, I wanted to see what actually changed beyond vibes.",retest context and caveats; biomarker changes; habits with strongest evidence; next-quarter iteration plan,Subscribe to the Founder Longevity Lab newsletter,Cut 3x 45s vertical clips for TikTok Tue/Wed/Fri; pull 5 chart screenshots into an Instagram carousel on Tuesday.,science explainers
2026-09-28,85,Instagram,Reel,My 90-Day Founder Longevity Before-and-After,No miracle arc. Just a founder-budget experiment with enough data to make smarter next moves.,week focus: Biological age retest and quarter review; one founder constraint; one measurable takeaway,Comment DASHBOARD and I’ll DM the tracking template,Re-edit the YouTube opener into a 35s Reel with on-screen charts; save strongest line for Thursday Story recap.,science explainers
2026-09-28,85,TikTok,TikTok,I Retested My Biological Age After 90 Days,"Here is what moved, what did not, and why the context matters.",arc: $100/month founder longevity stack; strongest chart reveal; founder-budget takeaway,Follow for the next data drop in this 90-day series,Use a fast-cut native version of the Monday YouTube reveal; repost the best comment response as a Friday clip.,science explainers
2026-09-29,86,Instagram,carousel,"Quarter Review Dashboard: Biomarkers, Sleep, Glucose, Spend",This is the single scoreboard I wish existed for every health creator making big claims.,chart 1 baseline or comparison; chart 2 biggest surprise; chart 3 founder takeaway; chart 4 next test,Save this post for your next health stack audit,Export charts from the YouTube dashboard walkthrough; adapt slide 1 and slide 4 into a LinkedIn-style screenshot for future reuse.,science explainers
2026-09-29,86,TikTok,TikTok,The Least Sexy Habit Had the Biggest Quarter Impact,"This is how real systems usually work: less magic, more consistency.",one contrarian claim; one chart or anecdote; one immediate action,Comment DATA and I’ll DM the dashboard template,Record natively with a tighter hook than the YouTube cut; reuse subtitles from the clip for an Instagram Story poll on Wednesday.,science explainers
2026-09-30,87,Instagram,Story,What I’m Keeping for Q4 and What I’m Cutting,"A good quarter review ends with a tighter system, not a bigger wishlist.",behind-the-scenes setup; one screenshot from the tracker; one poll or Q&A sticker,Reply FOUNDERS and I’ll share the exact checklist,Turn the best Story question into a Saturday TikTok response; archive the screenshots for a future monthly recap carousel.,founder journey/build-in-public
2026-09-30,87,TikTok,TikTok,What 90 Days of Founder Data Taught Me,A quarter is long enough to stop guessing and start deciding.,problem most creators oversimplify; what I tested instead; what changed in practice,Follow for the full Thursday write-up,Film as a direct-to-camera native explainer; lift the closing sentence into Thursday Substack email preview text.,science explainers
2026-10-01,88,Substack,Substack essay,"The 90-Day Founder Longevity Review: What Changed, What Didn’t, and What I’ll Test Next","This is the quarter-end memo on biomarkers, budget, time cost, and the protocols that earned a permanent spot.",methods and caveats; raw data table summary; evidence grade; founder-budget recommendation,Subscribe to the Founder Longevity Lab newsletter,Embed 2 chart screenshots from the week; spin out the strongest paragraph into Friday Instagram carousel caption and next Monday YouTube intro.,science explainers
2026-10-01,88,YouTube,YouTube Short,My Biological Age Retest After 90 Days,"The result was less dramatic than influencer thumbnails, but more useful.",single dramatic chart moment; one plain-English lesson; one next step,Watch the full breakdown on YouTube,Clip the highest-retention 30s moment from Monday’s long-form; repost natively to Instagram Reels on Thursday night if it spikes early.,science explainers
2026-10-01,88,Instagram,Reel,Biological Age Tests: Useful Signal or Vanity Metric?,The right answer is more nuanced than both the skeptics and the marketers want.,one myth to correct; one mechanism or chart; one realistic founder action,Share this with a founder who is overcomplicating health,Use the same core script as the Thursday YouTube Short with a different first line; cut still frames into Story slides after publishing.,science explainers
2026-10-02,89,Instagram,carousel,The Founder Longevity Lessons I’d Hand My 25-Year-Old Self,"Most of them are boring, measurable, and worth doing anyway.",weekly scoreboard; one failed assumption; one win worth keeping; one adjustment for next week,Comment REVIEW and I’ll send the weekly scorecard format,Turn each slide into a separate Story frame; reuse the failed-assumption slide as the opening beat for Sunday notes or future recap content.,founder journey/build-in-public
2026-10-02,89,TikTok,TikTok,Are Biological Age Tests Worth It?,"Only if you treat them like one input, not a personality trait.",mistake or tension point; what the data said; what I changed next,Watch the full breakdown on YouTube,Use B-roll from the actual week and overlay the chart; mirror the strongest sentence in the Friday carousel caption.,founder journey/build-in-public
2026-10-03,90,TikTok,TikTok,My Next 90-Day Experiment Starts Here,"The data made the next question obvious, and that is the real win.",one concise verdict; one caveat; one next experiment or decision,Follow for next week’s experiment drop,Record as a direct response to the week’s top comment; pull the verdict sentence into Sunday notes and the next Monday cold open.,science explainers
